Categoria,Modelo,Armazenamento,Preco,Parcelas,Valor Parcela
iPad,"iPad Air M3 11""",128GB,6499,,
iPad,"iPad Air M3 11""",256GB,7499,,
iPad,"iPad Air M3 11""",512GB,9499,,
iPad,"iPad Air M3 11""",1TB,11999,,
iPad,"iPad Air M3 13""",128GB,8499,,
iPad,"iPad Air M3 13""",256GB,9499,,
iPad,"iPad Air M3 13""",512GB,11499,,
iPad,"iPad Air M3 13""",1TB,13999,,
iPad,"iPad Air M4 11""",128GB,7499,,
iPad,"iPad Air M4 11""",256GB,8499,,
iPad,"iPad Air M4 11""",512GB,10499,,
iPad,"iPad Air M4 11""",1TB,12999,,
iPad,"iPad Air M4 13""",128GB,9499,,
iPad,"iPad Air M4 13""",256GB,10499,,
iPad,"iPad Air M4 13""",512GB,12499,,
iPad,"iPad Air M4 13""",1TB,14999,,
iPad,iPad mini A17 Pro,128GB,5999,,
iPad,iPad mini A17 Pro,256GB,6999,,
iPad,iPad mini A17 Pro,512GB,8499,,
iPad,"iPad Pro M4 11""",256GB,9999,,
iPad,"iPad Pro M4 11""",512GB,11999,,
iPad,"iPad Pro M4 11""",1TB,14999,,
iPad,"iPad Pro M4 11""",2TB,18999,,
iPad,"iPad Pro M4 13""",256GB,12999,,
iPad,"iPad Pro M4 13""",512GB,14999,,
iPad,"iPad Pro M4 13""",1TB,17999,,
iPad,"iPad Pro M4 13""",2TB,21999,,
iPad,"iPad Pro M5 11""",256GB,10999,,
iPad,"iPad Pro M5 11""",512GB,12999,,
iPad,"iPad Pro M5 11""",1TB,15999,,
iPad,"iPad Pro M5 11""",2TB,19999,,
iPad,"iPad Pro M5 13""",256GB,13999,,
iPad,"iPad Pro M5 13""",512GB,15999,,
iPad,"iPad Pro M5 13""",1TB,18999,,
iPad,"iPad Pro M5 13""",2TB,22999,,
Apple Watch,Apple Watch SE 2ª 40mm,GPS,1490,,
Apple Watch,Apple Watch SE 2ª 44mm,GPS,1590,,
Apple Watch,Apple Watch SE 3ª 40mm,GPS,1790,,
Apple Watch,Apple Watch SE 3ª 44mm,GPS,1990,,
Apple Watch,Apple Watch S10 42mm,GPS,2290,,
Apple Watch,Apple Watch S10 46mm,GPS,2490,,
Apple Watch,Apple Watch S11 42mm,GPS,2449,,
Apple Watch,Apple Watch S11 46mm,GPS,2590,,
Apple Watch,Apple Watch Ultra 2,GPS,4390,,
Apple Watch,Apple Watch Ultra 3,GPS,4590,,
AirPods,AirPods 3,Padrão,850,,
AirPods,AirPods Pro 2,Padrão,1350,,
AirPods,AirPods Pro 3,Padrão,1650,,
AirPods,AirPods 4,Padrão,870,,
AirPods,AirPods 4 ANC,Padrão,1150,,
MacBook,Mac mini M2,8GB / 256GB,3690,,
MacBook,Mac mini M2,8GB / 512GB,4390,,
MacBook,MacBook Neo,8GB / 256GB,4990,,
MacBook,MacBook Neo,8GB / 512GB,5890,,
MacBook,"MacBook Air M1 13""",8GB / 256GB,5990,,
MacBook,"MacBook Air M2 13""",8GB / 256GB,5990,,
MacBook,"MacBook Air M2 13""",16GB / 256GB,6190,,
MacBook,"MacBook Air M3 13""",16GB / 256GB,6690,,
MacBook,"MacBook Air M3 13""",8GB / 512GB,6490,,
MacBook,"MacBook Air M3 15""",8GB / 256GB,7390,,
MacBook,"MacBook Air M3 15""",8GB / 512GB,7490,,
MacBook,"MacBook Air M3 15""",16GB / 512GB,7990,,
MacBook,"MacBook Air M4 13""",16GB / 256GB,7190,,
MacBook,"MacBook Air M4 13""",16GB / 512GB,7590,,
MacBook,"MacBook Air M4 13""",24GB / 512GB,9890,,
MacBook,"MacBook Air M4 15""",16GB / 256GB,7890,,
MacBook,"MacBook Air M4 15""",16GB / 512GB,9190,,
MacBook,"MacBook Air M4 15""",24GB / 512GB,10390,,
MacBook,"MacBook Air M5 13""",16GB / 512GB,8490,,
MacBook,"MacBook Air M5 13""",24GB / 1TB,12890,,
MacBook,"MacBook Air M5 15""",16GB / 512GB,9790,,
MacBook,"MacBook Air M5 15""",16GB / 1TB,11790,,
MacBook,"MacBook Air M5 15""",24GB / 1TB,13690,,
MacBook,"MacBook Pro M4 M4 14""",16GB / 512GB,10490,,
MacBook,"MacBook Pro M4 M4 14""",16GB / 1TB,11000,,
MacBook,"MacBook Pro M4 M4 14""",24GB / 512GB,13000,,
MacBook,"MacBook Pro M4 M4 14""",24GB / 1TB,15600,,
MacBook,"MacBook Pro M4 M4 16""",24GB / 512GB,16999.99,,
MacBook,"MacBook Pro M4 M4 16""",48GB / 512GB,21000,,
MacBook,"MacBook Pro M4 M4 Pro 14""",24GB / 512GB,13500,,
MacBook,"MacBook Pro M4 M4 Pro 14""",24GB / 1TB,15500,,
MacBook,"MacBook Pro M4 M4 Pro 14""",48GB / 512GB,22000,,
MacBook,"MacBook Pro M4 M4 Pro 16""",24GB / 512GB,17500,,
MacBook,"MacBook Pro M4 M4 Pro 16""",48GB / 512GB,21000,,
MacBook,"MacBook Pro M4 M4 Max 14""",36GB / 1TB,23900,,
MacBook,"MacBook Pro M4 M4 Max 16""",36GB / 1TB,26000,,
MacBook,"MacBook Pro M4 M4 Max 16""",48GB / 1TB,29000,,
MacBook,"MacBook Pro M5 M5 14""",16GB / 512GB,11990,,
MacBook,"MacBook Pro M5 M5 14""",16GB / 1TB,12790,,
MacBook,"MacBook Pro M5 M5 14""",24GB / 1TB,14690,,
MacBook,"MacBook Pro M5 M5 14""",32GB / 1TB,18890,,
MacBook,"MacBook Pro M5 M5 14""",48GB / 1TB,26790,,
MacBook,"MacBook Pro M5 M5 16""",24GB / 1TB,19590,,
MacBook,"MacBook Pro M5 M5 16""",32GB / 1TB,18890,,
MacBook,"MacBook Pro M5 M5 16""",36GB / 2TB,29990,,
MacBook,"MacBook Pro M5 M5 Pro 14""",24GB / 1TB,16490,,
MacBook,"MacBook Pro M5 M5 Pro 14""",24GB / 2TB,18490,,
MacBook,"MacBook Pro M5 M5 Pro 16""",24GB / 1TB,19500,,
MacBook,"MacBook Pro M5 M5 Pro 16""",48GB / 1TB,26990,,
MacBook,"MacBook Pro M5 M5 Pro 16""",36GB / 2TB,29490,,
MacBook,"MacBook Pro M5 M5 Max 14""",36GB / 2TB,27990,,
MacBook,"MacBook Pro M5 M5 Max 16""",36GB / 2TB,28990,,
MacBook,"MacBook Pro M5 M5 Max 16""",48GB / 2TB,32990,,
