Categoria,Modelo,Cor,Armazenamento,Preco,Disponivel,ID,Parcelas,Valor Parcela
iPhone,iPhone 15 Pro Max,Titânio Branco,256GB,9499,SIM,15promax-whitetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Branco,512GB,10999,SIM,15promax-whitetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Branco,1TB,12499,SIM,15promax-whitetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Azul,256GB,9499,SIM,15promax-bluetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Azul,512GB,10999,NAO,15promax-bluetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Azul,1TB,12499,NAO,15promax-bluetitanium,,
iPhone,iPhone 15 Pro Max,Titânio Natural,256GB,9499,SIM,15promax-naturaltitanium,,
iPhone,iPhone 15 Pro Max,Titânio Natural,512GB,10999,SIM,15promax-naturaltitanium,,
iPhone,iPhone 15 Pro Max,Titânio Natural,1TB,12499,SIM,15promax-naturaltitanium,,
iPhone,iPhone 15 Pro,Titânio Preto,128GB,7499,SIM,15pro-blacktitanium,,
iPhone,iPhone 15 Pro,Titânio Preto,256GB,8499,SIM,15pro-blacktitanium,,
iPhone,iPhone 15 Pro,Titânio Preto,512GB,9999,SIM,15pro-blacktitanium,,
iPhone,iPhone 15 Pro,Titânio Preto,1TB,11499,SIM,15pro-blacktitanium,,
iPhone,iPhone 15 Pro,Titânio Branco,128GB,7499,SIM,15pro-whitetitanium,,
iPhone,iPhone 15 Pro,Titânio Branco,256GB,8499,SIM,15pro-whitetitanium,,
iPhone,iPhone 15 Pro,Titânio Branco,512GB,9999,SIM,15pro-whitetitanium,,
iPhone,iPhone 15 Pro,Titânio Branco,1TB,11499,SIM,15pro-whitetitanium,,
iPhone,iPhone 15 Pro,Titânio Azul,128GB,7499,SIM,15pro-bluetitanium,,
iPhone,iPhone 15 Pro,Titânio Azul,256GB,8499,SIM,15pro-bluetitanium,,
iPhone,iPhone 15 Pro,Titânio Azul,512GB,9999,NAO,15pro-bluetitanium,,
iPhone,iPhone 15 Pro,Titânio Azul,1TB,11499,NAO,15pro-bluetitanium,,
iPhone,iPhone 15 Pro,Titânio Natural,128GB,7499,SIM,15pro-naturaltitanium,,
iPhone,iPhone 15 Pro,Titânio Natural,256GB,8499,SIM,15pro-naturaltitanium,,
iPhone,iPhone 15 Pro,Titânio Natural,512GB,9999,SIM,15pro-naturaltitanium,,
iPhone,iPhone 15 Pro,Titânio Natural,1TB,11499,SIM,15pro-naturaltitanium,,
iPhone,iPhone 15,Preto,128GB,4999,SIM,15-black,,
iPhone,iPhone 15,Preto,256GB,5999,SIM,15-black,,
iPhone,iPhone 15,Preto,512GB,7499,SIM,15-black,,
iPhone,iPhone 15,Azul,128GB,4999,SIM,15-blue,,
iPhone,iPhone 15,Azul,256GB,5999,SIM,15-blue,,
iPhone,iPhone 15,Azul,512GB,7499,SIM,15-blue,,
iPhone,iPhone 15,Verde,128GB,4999,SIM,15-green,,
iPhone,iPhone 15,Verde,256GB,5999,NAO,15-green,,
iPhone,iPhone 15,Verde,512GB,7499,NAO,15-green,,
iPhone,iPhone 15,Amarelo,128GB,4999,SIM,15-yellow,,
iPhone,iPhone 15,Amarelo,256GB,5999,SIM,15-yellow,,
iPhone,iPhone 15,Amarelo,512GB,7499,SIM,15-yellow,,
iPhone,iPhone 15,Rosa,128GB,4999,SIM,15-pink,,
iPhone,iPhone 15,Rosa,256GB,5999,SIM,15-pink,,
iPhone,iPhone 15,Rosa,512GB,7499,SIM,15-pink,,
iPhone,iPhone 14 Pro Max,Roxo Profundo,128GB,5999,SIM,14promax-deeppurple,,
iPhone,iPhone 14 Pro Max,Roxo Profundo,256GB,6999,SIM,14promax-deeppurple,,
iPhone,iPhone 14 Pro Max,Roxo Profundo,512GB,8499,SIM,14promax-deeppurple,,
iPhone,iPhone 14 Pro Max,Roxo Profundo,1TB,9999,SIM,14promax-deeppurple,,
iPhone,iPhone 14 Pro Max,Dourado,128GB,5999,SIM,14promax-gold,,
iPhone,iPhone 14 Pro Max,Dourado,256GB,6999,SIM,14promax-gold,,
iPhone,iPhone 14 Pro Max,Dourado,512GB,8499,NAO,14promax-gold,,
iPhone,iPhone 14 Pro Max,Dourado,1TB,9999,NAO,14promax-gold,,
iPhone,iPhone 14 Pro Max,Prata,128GB,5999,SIM,14promax-silver,,
iPhone,iPhone 14 Pro Max,Prata,256GB,6999,SIM,14promax-silver,,
iPhone,iPhone 14 Pro Max,Prata,512GB,8499,SIM,14promax-silver,,
iPhone,iPhone 14 Pro Max,Prata,1TB,9999,SIM,14promax-silver,,
iPhone,iPhone 14 Pro Max,Preto Espacial,128GB,5999,SIM,14promax-spaceblack,,
iPhone,iPhone 14 Pro Max,Preto Espacial,256GB,6999,SIM,14promax-spaceblack,,
iPhone,iPhone 14 Pro Max,Preto Espacial,512GB,8499,SIM,14promax-spaceblack,,
iPhone,iPhone 14 Pro Max,Preto Espacial,1TB,9999,NAO,14promax-spaceblack,,
iPhone,iPhone 14 Pro,Roxo Profundo,128GB,4999,SIM,14pro-deeppurple,,
iPhone,iPhone 14 Pro,Roxo Profundo,256GB,5799,SIM,14pro-deeppurple,,
iPhone,iPhone 14 Pro,Roxo Profundo,512GB,7299,SIM,14pro-deeppurple,,
iPhone,iPhone 14 Pro,Roxo Profundo,1TB,8799,SIM,14pro-deeppurple,,
iPhone,iPhone 14 Pro,Dourado,128GB,4999,SIM,14pro-gold,,
iPhone,iPhone 14 Pro,Dourado,256GB,5799,SIM,14pro-gold,,
iPhone,iPhone 14 Pro,Dourado,512GB,7299,NAO,14pro-gold,,
iPhone,iPhone 14 Pro,Dourado,1TB,8799,NAO,14pro-gold,,
iPhone,iPhone 14 Pro,Prata,128GB,4999,SIM,14pro-silver,,
iPhone,iPhone 14 Pro,Prata,256GB,5799,SIM,14pro-silver,,
iPhone,iPhone 14 Pro,Prata,512GB,7299,SIM,14pro-silver,,
iPhone,iPhone 14 Pro,Prata,1TB,8799,SIM,14pro-silver,,
iPhone,iPhone 14 Pro,Preto Espacial,128GB,4999,SIM,14pro-spaceblack,,
iPhone,iPhone 14 Pro,Preto Espacial,256GB,5799,SIM,14pro-spaceblack,,
iPhone,iPhone 14 Pro,Preto Espacial,512GB,7299,SIM,14pro-spaceblack,,
iPhone,iPhone 14 Pro,Preto Espacial,1TB,8799,NAO,14pro-spaceblack,,
iPhone,iPhone 14,Meia-noite,128GB,3299,SIM,14-midnight,,
iPhone,iPhone 14,Meia-noite,256GB,3999,SIM,14-midnight,,
iPhone,iPhone 14,Meia-noite,512GB,4999,SIM,14-midnight,,
iPhone,iPhone 14,Luz das Estrelas,128GB,3299,SIM,14-starlight,,
iPhone,iPhone 14,Luz das Estrelas,256GB,3999,SIM,14-starlight,,
iPhone,iPhone 14,Luz das Estrelas,512GB,4999,NAO,14-starlight,,
iPhone,iPhone 14,Azul,128GB,3299,SIM,14-blue,,
iPhone,iPhone 14,Azul,256GB,3999,SIM,14-blue,,
iPhone,iPhone 14,Azul,512GB,4999,SIM,14-blue,,
iPhone,iPhone 14,Roxo,128GB,3299,SIM,14-purple,,
iPhone,iPhone 14,Roxo,256GB,3999,NAO,14-purple,,
iPhone,iPhone 14,Roxo,512GB,4999,NAO,14-purple,,
iPhone,iPhone 14,Amarelo,128GB,3299,SIM,14-yellow,,
iPhone,iPhone 14,Amarelo,256GB,3999,SIM,14-yellow,,
iPhone,iPhone 14,Amarelo,512GB,4999,SIM,14-yellow,,
iPhone,iPhone 13,Meia-noite,128GB,2799,SIM,13-midnight,,
iPhone,iPhone 13,Meia-noite,256GB,3299,SIM,13-midnight,,
iPhone,iPhone 13,Meia-noite,512GB,4299,SIM,13-midnight,,
iPhone,iPhone 13,Luz das Estrelas,128GB,2799,SIM,13-starlight,,
iPhone,iPhone 13,Luz das Estrelas,256GB,3299,SIM,13-starlight,,
iPhone,iPhone 13,Luz das Estrelas,512GB,4299,NAO,13-starlight,,
iPhone,iPhone 13,Azul,128GB,2799,SIM,13-blue,,
iPhone,iPhone 13,Azul,256GB,3299,SIM,13-blue,,
iPhone,iPhone 13,Azul,512GB,4299,SIM,13-blue,,
iPhone,iPhone 13,Rosa,128GB,2799,SIM,13-pink,,
iPhone,iPhone 13,Rosa,256GB,3299,NAO,13-pink,,
iPhone,iPhone 13,Rosa,512GB,4299,NAO,13-pink,,
iPhone,iPhone 13,Verde,128GB,2799,SIM,13-green,,
iPhone,iPhone 13,Verde,256GB,3299,NAO,13-green,,
iPhone,iPhone 13,Verde,512GB,4299,NAO,13-green,,
iPad,iPad 10,Azul,64GB,3499,SIM,ipad10-azul,,
iPad,iPad 10,Azul,256GB,4299,SIM,ipad10-azul,,
iPad,iPad 10,Rosa,64GB,3499,SIM,ipad10-rosa,,
iPad,iPad 10,Rosa,256GB,4299,SIM,ipad10-rosa,,
iPad,iPad 10,Prateado,64GB,3499,SIM,ipad10-prateado,,
iPad,iPad 10,Prateado,256GB,4299,SIM,ipad10-prateado,,
iPad,iPad 10,Amarelo,64GB,3499,SIM,ipad10-amarelo,,
iPad,iPad 10,Amarelo,256GB,4299,SIM,ipad10-amarelo,,
iPad,iPad 11 A16,Azul,128GB,4999,SIM,ipad11-azul,,
iPad,iPad 11 A16,Azul,256GB,5999,SIM,ipad11-azul,,
iPad,iPad 11 A16,Azul,512GB,7499,SIM,ipad11-azul,,
iPad,iPad 11 A16,Rosa,128GB,4999,SIM,ipad11-rosa,,
iPad,iPad 11 A16,Rosa,256GB,5999,SIM,ipad11-rosa,,
iPad,iPad 11 A16,Rosa,512GB,7499,SIM,ipad11-rosa,,
iPad,iPad 11 A16,Prateado,128GB,4999,SIM,ipad11-prateado,,
iPad,iPad 11 A16,Prateado,256GB,5999,SIM,ipad11-prateado,,
iPad,iPad 11 A16,Prateado,512GB,7499,SIM,ipad11-prateado,,
iPad,iPad 11 A16,Amarelo,128GB,4999,SIM,ipad11-amarelo,,
iPad,iPad 11 A16,Amarelo,256GB,5999,SIM,ipad11-amarelo,,
iPad,iPad 11 A16,Amarelo,512GB,7499,SIM,ipad11-amarelo,,
iPad,"iPad Air M3 11""",Azul,128GB,6499,SIM,ipad-air-m3-11-azul,,
iPad,"iPad Air M3 11""",Azul,256GB,7499,SIM,ipad-air-m3-11-azul,,
iPad,"iPad Air M3 11""",Azul,512GB,9499,SIM,ipad-air-m3-11-azul,,
iPad,"iPad Air M3 11""",Azul,1TB,11999,SIM,ipad-air-m3-11-azul,,
iPad,"iPad Air M3 11""",Roxo,128GB,6499,SIM,ipad-air-m3-11-roxo,,
iPad,"iPad Air M3 11""",Roxo,256GB,7499,SIM,ipad-air-m3-11-roxo,,
iPad,"iPad Air M3 11""",Roxo,512GB,9499,SIM,ipad-air-m3-11-roxo,,
iPad,"iPad Air M3 11""",Roxo,1TB,11999,SIM,ipad-air-m3-11-roxo,,
iPad,"iPad Air M3 11""",Starlight,128GB,6499,SIM,ipad-air-m3-11-starlight,,
iPad,"iPad Air M3 11""",Starlight,256GB,7499,SIM,ipad-air-m3-11-starlight,,
iPad,"iPad Air M3 11""",Starlight,512GB,9499,SIM,ipad-air-m3-11-starlight,,
iPad,"iPad Air M3 11""",Starlight,1TB,11999,SIM,ipad-air-m3-11-starlight,,
iPad,"iPad Air M3 11""",Cinza Espacial,128GB,6499,SIM,ipad-air-m3-11-cinza-espacial,,
iPad,"iPad Air M3 11""",Cinza Espacial,256GB,7499,SIM,ipad-air-m3-11-cinza-espacial,,
iPad,"iPad Air M3 11""",Cinza Espacial,512GB,9499,SIM,ipad-air-m3-11-cinza-espacial,,
iPad,"iPad Air M3 11""",Cinza Espacial,1TB,11999,SIM,ipad-air-m3-11-cinza-espacial,,
iPad,"iPad Air M3 13""",Azul,128GB,8499,SIM,ipad-air-m3-13-azul,,
iPad,"iPad Air M3 13""",Azul,256GB,9499,SIM,ipad-air-m3-13-azul,,
iPad,"iPad Air M3 13""",Azul,512GB,11499,SIM,ipad-air-m3-13-azul,,
iPad,"iPad Air M3 13""",Azul,1TB,13999,SIM,ipad-air-m3-13-azul,,
iPad,"iPad Air M3 13""",Roxo,128GB,8499,SIM,ipad-air-m3-13-roxo,,
iPad,"iPad Air M3 13""",Roxo,256GB,9499,SIM,ipad-air-m3-13-roxo,,
iPad,"iPad Air M3 13""",Roxo,512GB,11499,SIM,ipad-air-m3-13-roxo,,
iPad,"iPad Air M3 13""",Roxo,1TB,13999,SIM,ipad-air-m3-13-roxo,,
iPad,"iPad Air M3 13""",Starlight,128GB,8499,SIM,ipad-air-m3-13-starlight,,
iPad,"iPad Air M3 13""",Starlight,256GB,9499,SIM,ipad-air-m3-13-starlight,,
iPad,"iPad Air M3 13""",Starlight,512GB,11499,SIM,ipad-air-m3-13-starlight,,
iPad,"iPad Air M3 13""",Starlight,1TB,13999,SIM,ipad-air-m3-13-starlight,,
iPad,"iPad Air M3 13""",Cinza Espacial,128GB,8499,SIM,ipad-air-m3-13-cinza-espacial,,
iPad,"iPad Air M3 13""",Cinza Espacial,256GB,9499,SIM,ipad-air-m3-13-cinza-espacial,,
iPad,"iPad Air M3 13""",Cinza Espacial,512GB,11499,SIM,ipad-air-m3-13-cinza-espacial,,
iPad,"iPad Air M3 13""",Cinza Espacial,1TB,13999,SIM,ipad-air-m3-13-cinza-espacial,,
iPad,"iPad Air M4 11""",Azul,128GB,7499,SIM,ipad-air-m4-11-azul,,
iPad,"iPad Air M4 11""",Azul,256GB,8499,SIM,ipad-air-m4-11-azul,,
iPad,"iPad Air M4 11""",Azul,512GB,10499,SIM,ipad-air-m4-11-azul,,
iPad,"iPad Air M4 11""",Azul,1TB,12999,SIM,ipad-air-m4-11-azul,,
iPad,"iPad Air M4 11""",Roxo,128GB,7499,SIM,ipad-air-m4-11-roxo,,
iPad,"iPad Air M4 11""",Roxo,256GB,8499,SIM,ipad-air-m4-11-roxo,,
iPad,"iPad Air M4 11""",Roxo,512GB,10499,SIM,ipad-air-m4-11-roxo,,
iPad,"iPad Air M4 11""",Roxo,1TB,12999,SIM,ipad-air-m4-11-roxo,,
iPad,"iPad Air M4 11""",Starlight,128GB,7499,SIM,ipad-air-m4-11-starlight,,
iPad,"iPad Air M4 11""",Starlight,256GB,8499,SIM,ipad-air-m4-11-starlight,,
iPad,"iPad Air M4 11""",Starlight,512GB,10499,SIM,ipad-air-m4-11-starlight,,
iPad,"iPad Air M4 11""",Starlight,1TB,12999,SIM,ipad-air-m4-11-starlight,,
iPad,"iPad Air M4 11""",Cinza Espacial,128GB,7499,SIM,ipad-air-m4-11-cinza-espacial,,
iPad,"iPad Air M4 11""",Cinza Espacial,256GB,8499,SIM,ipad-air-m4-11-cinza-espacial,,
iPad,"iPad Air M4 11""",Cinza Espacial,512GB,10499,SIM,ipad-air-m4-11-cinza-espacial,,
iPad,"iPad Air M4 11""",Cinza Espacial,1TB,12999,SIM,ipad-air-m4-11-cinza-espacial,,
iPad,"iPad Air M4 13""",Azul,128GB,9499,SIM,ipad-air-m4-13-azul,,
iPad,"iPad Air M4 13""",Azul,256GB,10499,SIM,ipad-air-m4-13-azul,,
iPad,"iPad Air M4 13""",Azul,512GB,12499,SIM,ipad-air-m4-13-azul,,
iPad,"iPad Air M4 13""",Azul,1TB,14999,SIM,ipad-air-m4-13-azul,,
iPad,"iPad Air M4 13""",Roxo,128GB,9499,SIM,ipad-air-m4-13-roxo,,
iPad,"iPad Air M4 13""",Roxo,256GB,10499,SIM,ipad-air-m4-13-roxo,,
iPad,"iPad Air M4 13""",Roxo,512GB,12499,SIM,ipad-air-m4-13-roxo,,
iPad,"iPad Air M4 13""",Roxo,1TB,14999,SIM,ipad-air-m4-13-roxo,,
iPad,"iPad Air M4 13""",Starlight,128GB,9499,SIM,ipad-air-m4-13-starlight,,
iPad,"iPad Air M4 13""",Starlight,256GB,10499,SIM,ipad-air-m4-13-starlight,,
iPad,"iPad Air M4 13""",Starlight,512GB,12499,SIM,ipad-air-m4-13-starlight,,
iPad,"iPad Air M4 13""",Starlight,1TB,14999,SIM,ipad-air-m4-13-starlight,,
iPad,"iPad Air M4 13""",Cinza Espacial,128GB,9499,SIM,ipad-air-m4-13-cinza-espacial,,
iPad,"iPad Air M4 13""",Cinza Espacial,256GB,10499,SIM,ipad-air-m4-13-cinza-espacial,,
iPad,"iPad Air M4 13""",Cinza Espacial,512GB,12499,SIM,ipad-air-m4-13-cinza-espacial,,
iPad,"iPad Air M4 13""",Cinza Espacial,1TB,14999,SIM,ipad-air-m4-13-cinza-espacial,,
iPad,iPad mini A17 Pro,Azul,128GB,5999,SIM,ipad-mini-a17-azul,,
iPad,iPad mini A17 Pro,Azul,256GB,6999,SIM,ipad-mini-a17-azul,,
iPad,iPad mini A17 Pro,Azul,512GB,8499,SIM,ipad-mini-a17-azul,,
iPad,iPad mini A17 Pro,Roxo,128GB,5999,SIM,ipad-mini-a17-roxo,,
iPad,iPad mini A17 Pro,Roxo,256GB,6999,SIM,ipad-mini-a17-roxo,,
iPad,iPad mini A17 Pro,Roxo,512GB,8499,SIM,ipad-mini-a17-roxo,,
iPad,iPad mini A17 Pro,Starlight,128GB,5999,SIM,ipad-mini-a17-starlight,,
iPad,iPad mini A17 Pro,Starlight,256GB,6999,SIM,ipad-mini-a17-starlight,,
iPad,iPad mini A17 Pro,Starlight,512GB,8499,SIM,ipad-mini-a17-starlight,,
iPad,iPad mini A17 Pro,Cinza Espacial,128GB,5999,SIM,ipad-mini-a17-cinza-espacial,,
iPad,iPad mini A17 Pro,Cinza Espacial,256GB,6999,SIM,ipad-mini-a17-cinza-espacial,,
iPad,iPad mini A17 Pro,Cinza Espacial,512GB,8499,SIM,ipad-mini-a17-cinza-espacial,,
iPad,"iPad Pro M4 11""",Preto Espacial,256GB,9999,SIM,ipad-pro-m4-11-preto-espacial,,
iPad,"iPad Pro M4 11""",Preto Espacial,512GB,11999,SIM,ipad-pro-m4-11-preto-espacial,,
iPad,"iPad Pro M4 11""",Preto Espacial,1TB,14999,SIM,ipad-pro-m4-11-preto-espacial,,
iPad,"iPad Pro M4 11""",Preto Espacial,2TB,18999,SIM,ipad-pro-m4-11-preto-espacial,,
iPad,"iPad Pro M4 11""",Prateado,256GB,9999,SIM,ipad-pro-m4-11-prateado,,
iPad,"iPad Pro M4 11""",Prateado,512GB,11999,SIM,ipad-pro-m4-11-prateado,,
iPad,"iPad Pro M4 11""",Prateado,1TB,14999,SIM,ipad-pro-m4-11-prateado,,
iPad,"iPad Pro M4 11""",Prateado,2TB,18999,SIM,ipad-pro-m4-11-prateado,,
iPad,"iPad Pro M4 13""",Preto Espacial,256GB,12999,SIM,ipad-pro-m4-13-preto-espacial,,
iPad,"iPad Pro M4 13""",Preto Espacial,512GB,14999,SIM,ipad-pro-m4-13-preto-espacial,,
iPad,"iPad Pro M4 13""",Preto Espacial,1TB,17999,SIM,ipad-pro-m4-13-preto-espacial,,
iPad,"iPad Pro M4 13""",Preto Espacial,2TB,21999,SIM,ipad-pro-m4-13-preto-espacial,,
iPad,"iPad Pro M4 13""",Prateado,256GB,12999,SIM,ipad-pro-m4-13-prateado,,
iPad,"iPad Pro M4 13""",Prateado,512GB,14999,SIM,ipad-pro-m4-13-prateado,,
iPad,"iPad Pro M4 13""",Prateado,1TB,17999,SIM,ipad-pro-m4-13-prateado,,
iPad,"iPad Pro M4 13""",Prateado,2TB,21999,SIM,ipad-pro-m4-13-prateado,,
iPad,"iPad Pro M5 11""",Preto Espacial,256GB,10999,SIM,ipad-pro-m5-11-preto-espacial,,
iPad,"iPad Pro M5 11""",Preto Espacial,512GB,12999,SIM,ipad-pro-m5-11-preto-espacial,,
iPad,"iPad Pro M5 11""",Preto Espacial,1TB,15999,SIM,ipad-pro-m5-11-preto-espacial,,
iPad,"iPad Pro M5 11""",Preto Espacial,2TB,19999,SIM,ipad-pro-m5-11-preto-espacial,,
